id,name,state_before,date_order,amount_total,n_lines
1135,S01135,draft,2023-10-18 18:19:11,4500.0,1
1138,S01138,draft,2023-10-19 20:28:41,4000.0,1
1139,S01139,draft,2023-10-20 02:20:22,550.0,1
1145,S01145,draft,2023-10-21 04:32:06,30700.0,4
1146,S01146,draft,2023-10-21 23:47:59,29500.0,3
1147,S01147,draft,2023-10-22 03:07:51,26000.0,2
1148,S01148,draft,2023-10-23 03:44:08,0.0,0
1150,S01150,draft,2023-10-23 15:09:14,13900.0,3
1162,S01162,draft,2023-10-25 00:56:37,39000.0,2
1163,S01163,draft,2023-10-25 15:39:58,4000.0,1
1179,S01179,draft,2023-10-27 21:06:13,2000.0,1
1182,S01182,draft,2023-10-28 02:29:44,14000.0,1
1183,S01183,draft,2023-10-28 20:08:09,33500.0,4
1189,S01189,draft,2023-10-30 23:05:38,4000.0,1
1195,S01195,draft,2023-10-31 17:27:37,5000.0,1
1202,S01202,draft,2023-11-02 02:23:41,5000.0,1
1203,S01203,draft,2023-11-02 12:09:04,9200.0,1
1212,S01212,draft,2023-11-05 19:38:31,3500.0,1
1213,S01213,draft,2023-11-06 01:39:57,20000.0,1
1214,S01214,draft,2023-11-06 03:42:07,76000.0,4
1219,S01219,draft,2023-11-06 13:40:09,14100.0,2
1220,S01220,draft,2023-11-06 14:27:19,41700.0,5
1227,S01227,draft,2023-11-06 22:28:34,27200.0,2
1228,S01228,draft,2023-11-06 22:45:36,62000.0,3
1230,S01230,draft,2023-11-07 21:50:15,19000.0,1
1235,S01235,draft,2023-11-08 00:47:16,32500.0,1
1236,S01236,draft,2023-11-08 15:25:48,3500.0,1
1238,S01238,draft,2023-11-09 16:39:22,7000.0,1
1241,S01241,draft,2023-11-11 13:20:33,12000.0,1
1242,S01242,draft,2023-11-12 15:53:59,15000.0,1
1243,S01243,draft,2023-11-12 16:10:34,19000.0,1
1247,S01247,draft,2023-11-13 18:54:18,9400.0,1
1248,S01248,draft,2023-11-13 20:45:20,4500.0,1
1250,S01250,draft,2023-11-14 19:42:32,37000.0,3
1253,S01253,draft,2023-11-15 04:22:00,26500.0,2
1258,S01258,draft,2023-11-15 16:53:22,14000.0,1
1260,S01260,draft,2023-11-15 17:45:03,3500.0,1
1261,S01261,draft,2023-11-15 17:49:54,20000.0,1
1265,S01265,draft,2023-11-16 15:14:29,2800.0,1
1268,S01268,draft,2023-11-16 16:25:47,69800.0,8
1288,S01288,draft,2023-11-19 01:21:30,48700.0,7
1296,S01296,draft,2023-11-21 02:29:34,7500.0,1
1306,S01306,draft,2023-11-23 01:16:43,11000.0,1
1307,S01307,draft,2023-11-23 13:26:23,10000.0,1
1310,S01310,draft,2023-11-26 22:39:44,19000.0,1
1311,S01311,draft,2023-11-27 20:18:05,8500.0,1
1313,S01313,draft,2023-11-28 04:09:49,12500.0,1
1314,S01314,draft,2023-11-28 05:54:08,9000.0,1
1325,S01325,draft,2023-11-28 21:44:30,19500.0,4
1326,S01326,draft,2023-11-29 15:38:21,44000.0,4
1333,S01333,draft,2023-12-03 12:39:42,1900.0,1
1334,S01334,draft,2023-12-03 22:50:21,2000.0,1
1346,S01346,draft,2023-12-04 19:40:03,20000.0,1
1357,S01357,draft,2023-12-06 03:23:07,6000.0,1
1358,S01358,draft,2023-12-06 11:57:52,13500.0,1
1364,S01364,draft,2023-12-07 02:04:01,12000.0,1
1371,S01371,draft,2023-12-08 18:58:38,11000.0,1
1375,S01375,draft,2023-12-10 16:37:28,6000.0,1
1379,S01379,draft,2023-12-12 23:31:28,22000.0,2
1382,S01382,draft,2023-12-13 15:46:21,9400.0,1
1386,S01386,draft,2023-12-14 01:11:52,17000.0,1
1394,S01394,draft,2023-12-16 06:49:19,20000.0,1
1395,S01395,draft,2023-12-17 21:34:40,63000.0,2
1396,S01396,draft,2023-12-18 04:13:01,11000.0,1
1397,S01397,draft,2023-12-18 14:27:19,13000.0,1
1402,S01402,draft,2023-12-20 15:14:23,1900.0,1
1404,S01404,draft,2023-12-20 18:24:46,42000.0,1
1410,S01410,draft,2023-12-22 04:11:06,1900.0,1
1412,S01412,draft,2023-12-23 02:09:33,45500.0,2
1414,S01414,draft,2023-12-25 15:23:44,44200.0,7
1419,S01419,draft,2023-12-26 21:03:21,1500.0,1
1420,S01420,draft,2023-12-26 22:05:42,450000.0,1
1421,S01421,draft,2023-12-27 02:56:48,6000.0,1
1422,S01422,draft,2023-12-27 18:31:50,3500.0,1
1423,S01423,draft,2023-12-28 03:35:49,17900.0,3
1427,S01427,draft,2023-12-28 21:30:20,63700.0,5
1428,S01428,draft,2023-12-29 23:29:25,59000.0,2
1429,S01429,draft,2023-12-30 10:58:26,50500.0,2
1430,S01430,draft,2023-12-30 16:14:53,5000.0,1
1431,S01431,draft,2023-12-30 20:53:17,2500.0,1
1432,S01432,draft,2024-01-02 03:44:37,900.0,1
1438,S01438,draft,2024-01-02 18:57:39,11000.0,1
1442,S01442,draft,2024-01-03 16:25:52,10500.0,1
1448,S01448,draft,2024-01-03 23:45:52,84500.0,1
1449,S01449,draft,2024-01-04 03:43:29,28000.0,4
1450,S01450,draft,2024-01-04 16:41:03,15000.0,1
1451,S01451,draft,2024-01-05 02:59:28,33800.0,3
1454,S01454,draft,2024-01-06 07:06:21,7500.0,1
1455,S01455,draft,2024-01-06 15:27:31,2500.0,1
1456,S01456,draft,2024-01-06 19:17:32,0.0,0
1458,S01458,draft,2024-01-07 13:40:16,24100.0,3
1461,S01461,draft,2024-01-07 18:29:28,7000.0,1
1462,S01462,draft,2024-01-07 23:00:17,8900.0,1
1465,S01465,draft,2024-01-09 04:31:34,19000.0,1
1467,S01467,draft,2024-01-09 05:33:02,22540.0,4
1475,S01475,draft,2024-01-11 04:21:10,35000.0,1
1476,S01476,draft,2024-01-11 15:14:23,22500.0,3
1479,S01479,draft,2024-01-11 23:27:49,23900.0,4
1486,S01486,draft,2024-01-13 03:13:21,6000.0,1
1487,S01487,draft,2024-01-13 03:28:33,3000.0,1
1489,S01489,draft,2024-01-13 17:53:55,16000.0,1
1490,S01490,draft,2024-01-15 18:02:17,5800.0,1
1493,S01493,draft,2024-01-15 19:06:33,13100.0,3
1500,S01500,draft,2024-01-16 02:16:30,23000.0,1
1502,S01502,draft,2024-01-17 13:53:22,8500.0,1
1504,S01504,draft,2024-01-17 15:18:20,78500.0,3
1508,S01508,draft,2024-01-18 03:32:40,13000.0,2
1513,S01513,draft,2024-01-18 17:48:29,30500.0,2
1518,S01518,draft,2024-01-19 17:07:37,0.0,0
1521,S01521,draft,2024-01-20 16:46:47,25500.0,1
1532,S01532,draft,2024-01-21 02:30:45,30400.0,4
